Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
B6,6482,2024-02-12 14:20:00,2024-02-12 14:09:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
DL,7442,2024-02-12 14:20:00,2024-02-12 14:09:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
LY,26,2024-02-12 14:20:00,2024-02-12 14:09:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
LY,375,2024-02-12 13:40:00,2024-02-12 14:09:00,D,LIS,LISBON,PORTUGAL,3,DEPARTED
TP,8920,2024-02-12 13:40:00,2024-02-12 14:09:00,D,LIS,LISBON,PORTUGAL,3,DEPARTED
6H,48,2024-02-12 14:25:00,2024-02-12 14:15:00,A,ETM,RAMON,ISRAEL,3,LANDED
EY,594,2024-02-12 13:00:00,2024-02-12 14:16:00,D,AUH,ABU DHABI,UNITED ARAB EMIRATES,3,DEPARTED
LY,9601,2024-02-12 13:00:00,2024-02-12 14:16:00,D,AUH,ABU DHABI,UNITED ARAB EMIRATES,3,DEPARTED
EK,2364,2024-02-12 12:55:00,2024-02-12 14:29:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1212,2024-02-12 12:55:00,2024-02-12 14:29:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
U8,108,2024-02-12 15:00:00,2024-02-12 14:38:00,A,LCA,LARNACA,CYPRUS,3,LANDED
BZ,702,2024-02-12 14:30:00,2024-02-12 14:40:00,D,ATH,ATHENS,GREECE,3,DEPARTED
WZ,15,2024-02-12 13:20:00,2024-02-12 14:45:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED
LY,5107,2024-02-12 14:35:00,2024-02-12 14:49:00,D,TBS,TBILISI,GEORGIA,3,DEPARTED
EK,2345,2024-02-12 13:05:00,2024-02-12 14:50:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1125,2024-02-12 13:05:00,2024-02-12 14:50:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
AR,7876,2024-02-12 14:30:00,2024-02-12 14:54:00,A,FCO,ROME,ITALY,3,LANDED
LY,386,2024-02-12 14:30:00,2024-02-12 14:54:00,A,FCO,ROME,ITALY,3,LANDED
