Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
SK,3155,2024-02-13 06:05:00,2024-02-13 06:16:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
LY,5129,2024-02-13 06:00:00,2024-02-13 06:18:00,D,RMO,CHISINAU,MOLDOVA,3,DEPARTED
LY,82,2024-02-13 06:15:00,2024-02-13 06:20:00,A,BKK,BANGKOK,THAILAND,3,LANDED
QF,5021,2024-02-13 06:15:00,2024-02-13 06:20:00,A,BKK,BANGKOK,THAILAND,3,LANDED
TG,5483,2024-02-13 06:15:00,2024-02-13 06:20:00,A,BKK,BANGKOK,THAILAND,3,LANDED
VN,3299,2024-02-13 06:15:00,2024-02-13 06:20:00,A,BKK,BANGKOK,THAILAND,3,LANDED
AR,7877,2024-02-13 06:10:00,2024-02-13 06:24:00,D,FCO,ROME,ITALY,3,DEPARTED
LY,385,2024-02-13 06:10:00,2024-02-13 06:24:00,D,FCO,ROME,ITALY,3,DEPARTED
SK,3167,2024-02-13 06:10:00,2024-02-13 06:24:00,D,FCO,ROME,ITALY,3,DEPARTED
TP,8898,2024-02-13 06:10:00,2024-02-13 06:24:00,D,FCO,ROME,ITALY,3,DEPARTED
LY,2371,2024-02-13 06:00:00,2024-02-13 06:28:00,D,BER,BERLIN,GERMANY,3,DEPARTED
SK,3157,2024-02-13 06:00:00,2024-02-13 06:28:00,D,BER,BERLIN,GERMANY,3,DEPARTED
AA,9265,2024-02-13 06:15:00,2024-02-13 06:32:00,D,MAD,MADRID,SPAIN,3,DEPARTED
AM,7879,2024-02-13 06:15:00,2024-02-13 06:32:00,D,MAD,MADRID,SPAIN,3,DEPARTED
AR,7871,2024-02-13 06:15:00,2024-02-13 06:32:00,D,MAD,MADRID,SPAIN,3,DEPARTED
IB,2394,2024-02-13 06:15:00,2024-02-13 06:32:00,D,MAD,MADRID,SPAIN,3,DEPARTED
LY,395,2024-02-13 06:15:00,2024-02-13 06:32:00,D,MAD,MADRID,SPAIN,3,DEPARTED
IB,2392,2024-02-13 06:30:00,2024-02-13 06:38:00,D,BCN,BARCELONA,SPAIN,3,DEPARTED
LY,393,2024-02-13 06:30:00,2024-02-13 06:38:00,D,BCN,BARCELONA,SPAIN,3,DEPARTED
AA,9263,2024-02-13 06:00:00,2024-02-13 06:40:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
LY,353,2024-02-13 06:00:00,2024-02-13 06:40:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
AR,7850,2024-02-13 07:45:00,2024-02-13 06:55:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
B6,6468,2024-02-13 07:45:00,2024-02-13 06:55:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
DL,7438,2024-02-13 07:45:00,2024-02-13 06:55:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
LY,18,2024-02-13 07:45:00,2024-02-13 06:55:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
LY,573,2024-02-13 07:00:00,2024-02-13 07:03:00,D,OTP,BUCHAREST,ROMANIA,3,DEPARTED
LY,381,2024-02-13 06:50:00,2024-02-13 07:06:00,D,MXP,MILAN,ITALY,3,DEPARTED
SK,3185,2024-02-13 06:50:00,2024-02-13 07:06:00,D,MXP,MILAN,ITALY,3,DEPARTED
TP,8910,2024-02-13 06:50:00,2024-02-13 07:06:00,D,MXP,MILAN,ITALY,3,DEPARTED
IZ,801,2024-02-13 07:00:00,2024-02-13 07:08:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
LY,2365,2024-02-13 07:05:00,2024-02-13 07:22:00,D,BUD,BUDAPEST,HUNGARY,3,DEPARTED
LY,347,2024-02-13 07:20:00,2024-02-13 07:33:00,D,ZRH,ZURICH,SWITZERLAND,3,DEPARTED
SK,3189,2024-02-13 07:20:00,2024-02-13 07:33:00,D,ZRH,ZURICH,SWITZERLAND,3,DEPARTED
LY,24,2024-02-13 08:20:00,2024-02-13 07:40:00,A,EWR,NEWARK,UNITED STATES,3,LANDED
6H,43,2024-02-13 07:30:00,2024-02-13 07:41:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
LY,551,2024-02-13 07:30:00,2024-02-13 07:43:00,D,SOF,SOFIA,BULGARIA,3,DEPARTED
6H,661,2024-02-13 07:20:00,2024-02-13 08:04:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
IZ,2821,2024-02-13 08:10:00,2024-02-13 08:08:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
6H,885,2024-02-13 08:10:00,2024-02-13 08:24:00,D,BUS,BATUMI,GEORGIA,3,DEPARTED
EK,2369,2024-02-13 08:55:00,2024-02-13 08:26:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1549,2024-02-13 08:55:00,2024-02-13 08:26:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
LY,611,2024-02-13 08:20:00,2024-02-13 08:26:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED
S7,4482,2024-02-13 08:20:00,2024-02-13 08:26:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED
6H,225,2024-02-13 08:10:00,2024-02-13 08:29:00,D,RVN,ROVANIEMI,FINLAND,3,DEPARTED
LY,541,2024-02-13 08:30:00,2024-02-13 08:51:00,D,ATH,ATHENS,GREECE,3,DEPARTED
IZ,802,2024-02-13 09:15:00,2024-02-13 09:02:00,A,ETM,RAMON,ISRAEL,3,LANDED
LY,5141,2024-02-13 09:10:00,2024-02-13 09:25:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED
AA,9261,2024-02-13 09:15:00,2024-02-13 09:30:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
AM,7863,2024-02-13 09:15:00,2024-02-13 09:30:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
LY,315,2024-02-13 09:15:00,2024-02-13 09:30:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
SK,3181,2024-02-13 09:15:00,2024-02-13 09:30:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
6H,44,2024-02-13 09:55:00,2024-02-13 09:34:00,A,ETM,RAMON,ISRAEL,3,LANDED
AM,7868,2024-02-13 10:20:00,2024-02-13 09:39:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
AR,7852,2024-02-13 10:20:00,2024-02-13 09:39:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
B6,6450,2024-02-13 10:20:00,2024-02-13 09:39:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
DL,7425,2024-02-13 10:20:00,2024-02-13 09:39:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
LY,2,2024-02-13 10:20:00,2024-02-13 09:39:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
EK,2450,2024-02-13 10:20:00,2024-02-13 09:53:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1081,2024-02-13 10:20:00,2024-02-13 09:53:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
AM,7885,2024-02-13 09:00:00,2024-02-13 09:54:00,D,CDG,PARIS,FRANCE,3,DEPARTED
LY,323,2024-02-13 09:00:00,2024-02-13 09:54:00,D,CDG,PARIS,FRANCE,3,DEPARTED
SK,3163,2024-02-13 09:00:00,2024-02-13 09:54:00,D,CDG,PARIS,FRANCE,3,DEPARTED
LY,311,2024-02-13 09:40:00,2024-02-13 10:00:00,D,LTN,LONDON LUTON,UNITED KINGDOM,3,DEPARTED
LY,5101,2024-02-13 10:00:00,2024-02-13 10:16:00,D,WAW,WARSAW,POLAND,3,DEPARTED
LY,3,2024-02-13 10:00:00,2024-02-13 10:21:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
EK,2370,2024-02-13 10:10:00,2024-02-13 10:24:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1550,2024-02-13 10:10:00,2024-02-13 10:24:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
IZ,2822,2024-02-13 10:35:00,2024-02-13 10:24:00,A,ETM,RAMON,ISRAEL,3,LANDED
IZ,807,2024-02-13 10:30:00,2024-02-13 10:30:00,D,ETM,RAMON,ISRAEL,3,ON TIME
IZ,1295,2024-02-13 10:50:00,2024-02-13 10:50:00,D,OTP,BUCHAREST,ROMANIA,3,ON TIME
HU,743,2024-02-13 10:40:00,2024-02-13 10:57:00,A,SZX,SHENZHEN,CHINA,3,FINAL
FR,7161,2024-02-13 11:00:00,2024-02-13 11:03:00,A,VIE,VIENNA,AUSTRIA,3,FINAL
A4,5025,2024-02-13 10:20:00,2024-02-13 11:10:00,A,AER,SOCHI,RUSSIAN FEDERATION,3,FINAL
EK,2363,2024-02-13 11:40:00,2024-02-13 11:31:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,FINAL
FZ,1211,2024-02-13 11:40:00,2024-02-13 11:31:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,FINAL
EK,2451,2024-02-13 11:35:00,2024-02-13 11:35:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
FZ,1082,2024-02-13 11:35:00,2024-02-13 11:35:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
6H,47,2024-02-13 11:45:00,2024-02-13 11:45:00,D,ETM,RAMON,ISRAEL,3,ON TIME
A3,926,2024-02-13 12:00:00,2024-02-13 11:50:00,A,ATH,ATHENS,GREECE,3,FINAL
FR,7162,2024-02-13 11:50:00,2024-02-13 11:50:00,D,VIE,VIENNA,AUSTRIA,3,ON TIME
JU,7620,2024-02-13 12:00:00,2024-02-13 11:50:00,A,ATH,ATHENS,GREECE,3,FINAL
LY,973,2024-02-13 11:50:00,2024-02-13 11:50:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
A4,5026,2024-02-13 12:05:00,2024-02-13 12:05:00,D,AER,SOCHI,RUSSIAN FEDERATION,3,ON TIME
HU,744,2024-02-13 12:10:00,2024-02-13 12:10:00,D,SZX,SHENZHEN,CHINA,3,ON TIME
LX,254,2024-02-13 11:55:00,2024-02-13 12:25:00,A,ZRH,ZURICH,SWITZERLAND,3,FINAL
LY,543,2024-02-13 12:45:00,2024-02-13 12:45:00,D,ATH,ATHENS,GREECE,3,ON TIME
A3,927,2024-02-13 12:50:00,2024-02-13 12:50:00,D,ATH,ATHENS,GREECE,3,ON TIME
EK,4978,2024-02-13 12:50:00,2024-02-13 12:50:00,D,ATH,ATHENS,GREECE,3,ON TIME
FB,1514,2024-02-13 12:50:00,2024-02-13 12:50:00,D,ATH,ATHENS,GREECE,3,ON TIME
JU,7621,2024-02-13 12:50:00,2024-02-13 12:50:00,D,ATH,ATHENS,GREECE,3,ON TIME
EK,2364,2024-02-13 12:55:00,2024-02-13 12:55:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
FZ,1212,2024-02-13 12:55:00,2024-02-13 12:55:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
EK,2345,2024-02-13 13:05:00,2024-02-13 12:55:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,FINAL
FZ,1125,2024-02-13 13:05:00,2024-02-13 12:55:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,FINAL
AM,7871,2024-02-13 13:00:00,2024-02-13 13:00:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
AR,7855,2024-02-13 13:00:00,2024-02-13 13:00:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
B6,6455,2024-02-13 13:00:00,2024-02-13 13:00:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
DL,7430,2024-02-13 13:00:00,2024-02-13 13:00:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
LY,7,2024-02-13 13:00:00,2024-02-13 13:00:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
LY,5142,2024-02-13 13:00:00,2024-02-13 13:00:00,A,LCA,LARNACA,CYPRUS,3,NOT FINAL
IZ,808,2024-02-13 13:05:00,2024-02-13 13:05:00,A,ETM,RAMON,ISRAEL,3,NOT FINAL
FR,2005,2024-02-13 12:55:00,2024-02-13 13:05:00,A,BGY,BERGAMO,ITALY,3,FINAL
ET,418,2024-02-13 13:35:00,2024-02-13 13:08:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,FINAL
LY,8808,2024-02-13 13:35:00,2024-02-13 13:08:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,FINAL
IZ,815,2024-02-13 13:10:00,2024-02-13 13:10:00,D,ETM,RAMON,ISRAEL,3,ON TIME
LX,255,2024-02-13 13:05:00,2024-02-13 13:20:00,D,ZRH,ZURICH,SWITZERLAND,3,ON TIME
BZ,701,2024-02-13 13:30:00,2024-02-13 13:30:00,A,ATH,ATHENS,GREECE,3,NOT FINAL
WZ,15,2024-02-13 13:30:00,2024-02-13 13:30:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,NOT FINAL
LY,574,2024-02-13 13:35:00,2024-02-13 13:35:00,A,OTP,BUCHAREST,ROMANIA,3,NOT FINAL
LY,5130,2024-02-13 13:15:00,2024-02-13 13:43:00,A,RMO,CHISINAU,MOLDOVA,3,DELAYED
LY,552,2024-02-13 13:45:00,2024-02-13 13:45:00,A,SOF,SOFIA,BULGARIA,3,NOT FINAL
B6,6482,2024-02-13 14:20:00,2024-02-13 13:49:00,A,EWR,NEWARK,UNITED STATES,3,FINAL
DL,7442,2024-02-13 14:20:00,2024-02-13 13:49:00,A,EWR,NEWARK,UNITED STATES,3,FINAL
LY,26,2024-02-13 14:20:00,2024-02-13 13:49:00,A,EWR,NEWARK,UNITED STATES,3,FINAL
FR,2006,2024-02-13 13:50:00,2024-02-13 13:50:00,D,BGY,BERGAMO,ITALY,3,ON TIME
LY,542,2024-02-13 13:50:00,2024-02-13 13:50:00,A,ATH,ATHENS,GREECE,3,NOT FINAL
LY,8,2024-02-13 14:10:00,2024-02-13 13:51:00,A,JFK,NEW YORK,UNITED STATES,3,FINAL
6H,886,2024-02-13 13:55:00,2024-02-13 13:55:00,A,BUS,BATUMI,GEORGIA,3,NOT FINAL
AM,7874,2024-02-13 13:50:00,2024-02-13 13:56:00,A,LAX,LOS ANGELES,UNITED STATES,3,FINAL
B6,6462,2024-02-13 13:50:00,2024-02-13 13:56:00,A,LAX,LOS ANGELES,UNITED STATES,3,FINAL
DL,7429,2024-02-13 13:50:00,2024-02-13 13:56:00,A,LAX,LOS ANGELES,UNITED STATES,3,FINAL
LY,6,2024-02-13 13:50:00,2024-02-13 13:56:00,A,LAX,LOS ANGELES,UNITED STATES,3,FINAL
AF,962,2024-02-13 14:20:00,2024-02-13 14:00:00,A,CDG,PARIS,FRANCE,3,FINAL
DL,8457,2024-02-13 14:20:00,2024-02-13 14:00:00,A,CDG,PARIS,FRANCE,3,FINAL
EK,2346,2024-02-13 14:20:00,2024-02-13 14:20:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
FZ,1126,2024-02-13 14:20:00,2024-02-13 14:20:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
6H,48,2024-02-13 14:25:00,2024-02-13 14:25:00,A,ETM,RAMON,ISRAEL,3,NOT FINAL
AR,7876,2024-02-13 14:30:00,2024-02-13 14:30:00,A,FCO,ROME,ITALY,3,NOT FINAL
BZ,702,2024-02-13 14:30:00,2024-02-13 14:30:00,D,ATH,ATHENS,GREECE,3,ON TIME
LY,386,2024-02-13 14:30:00,2024-02-13 14:30:00,A,FCO,ROME,ITALY,3,NOT FINAL
ET,419,2024-02-13 14:35:00,2024-02-13 14:35:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,ON TIME
LY,5107,2024-02-13 14:35:00,2024-02-13 14:35:00,D,TBS,TBILISI,GEORGIA,3,ON TIME
LY,8809,2024-02-13 14:35:00,2024-02-13 14:35:00,D,ADD,ADDIS ABABA,ETHIOPIA,3,ON TIME
IZ,281,2024-02-13 14:45:00,2024-02-13 14:45:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,ON TIME
LY,355,2024-02-13 14:45:00,2024-02-13 14:45:00,D,FRA,FRANKFURT,GERMANY,3,ON TIME
NH,5621,2024-02-13 14:45:00,2024-02-13 14:45:00,A,VIE,VIENNA,AUSTRIA,3,NOT FINAL
OS,857,2024-02-13 14:45:00,2024-02-13 14:45:00,A,VIE,VIENNA,AUSTRIA,3,NOT FINAL
SK,3179,2024-02-13 14:45:00,2024-02-13 14:45:00,D,FRA,FRANKFURT,GERMANY,3,ON TIME
WZ,16,2024-02-13 14:45:00,2024-02-13 14:45:00,D,AER,SOCHI,RUSSIAN FEDERATION,3,ON TIME
LY,2366,2024-02-13 14:55:00,2024-02-13 14:55:00,A,BUD,BUDAPEST,HUNGARY,3,NOT FINAL
LO,153,2024-02-13 15:00:00,2024-02-13 15:00:00,A,WAW,WARSAW,POLAND,3,NOT FINAL
LY,9254,2024-02-13 15:00:00,2024-02-13 15:00:00,A,WAW,WARSAW,POLAND,3,NOT FINAL
AA,9264,2024-02-13 15:05:00,2024-02-13 15:05:00,A,MUC,MUNICH,GERMANY,3,NOT FINAL
LY,354,2024-02-13 15:05:00,2024-02-13 15:05:00,A,MUC,MUNICH,GERMANY,3,NOT FINAL
AC,9020,2024-02-13 15:15:00,2024-02-13 15:15:00,A,FRA,FRANKFURT,GERMANY,3,NOT FINAL
LH,686,2024-02-13 15:15:00,2024-02-13 15:15:00,A,FRA,FRANKFURT,GERMANY,3,NOT FINAL
NH,5459,2024-02-13 15:15:00,2024-02-13 15:15:00,A,FRA,FRANKFURT,GERMANY,3,NOT FINAL
SN,7173,2024-02-13 15:15:00,2024-02-13 15:15:00,A,FRA,FRANKFURT,GERMANY,3,NOT FINAL
UA,9120,2024-02-13 15:15:00,2024-02-13 15:15:00,A,FRA,FRANKFURT,GERMANY,3,NOT FINAL
6H,561,2024-02-13 15:15:00,2024-02-13 15:15:00,D,ATH,ATHENS,GREECE,3,ON TIME
IZ,816,2024-02-13 15:35:00,2024-02-13 15:35:00,A,ETM,RAMON,ISRAEL,3,NOT FINAL
LY,2372,2024-02-13 15:35:00,2024-02-13 15:35:00,A,BER,BERLIN,GERMANY,3,NOT FINAL
SK,3154,2024-02-13 15:35:00,2024-02-13 15:35:00,A,BER,BERLIN,GERMANY,3,NOT FINAL
OS,858,2024-02-13 15:40:00,2024-02-13 15:40:00,D,VIE,VIENNA,AUSTRIA,3,ON TIME
LY,387,2024-02-13 15:45:00,2024-02-13 15:45:00,D,MXP,MILAN,ITALY,3,ON TIME
SK,3183,2024-02-13 15:45:00,2024-02-13 15:45:00,D,MXP,MILAN,ITALY,3,ON TIME
6H,662,2024-02-13 15:50:00,2024-02-13 15:50:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,NOT FINAL
AF,963,2024-02-13 15:55:00,2024-02-13 15:55:00,D,CDG,PARIS,FRANCE,3,ON TIME
LO,154,2024-02-13 16:00:00,2024-02-13 16:00:00,D,WAW,WARSAW,POLAND,3,ON TIME
LY,382,2024-02-13 16:00:00,2024-02-13 16:00:00,A,MXP,MILAN,ITALY,3,NOT FINAL
SK,3184,2024-02-13 16:00:00,2024-02-13 16:00:00,A,MXP,MILAN,ITALY,3,NOT FINAL
AM,7851,2024-02-13 16:10:00,2024-02-13 16:10:00,D,AMS,AMSTERDAM,NETHERLANDS,3,ON TIME
LY,339,2024-02-13 16:10:00,2024-02-13 16:10:00,D,AMS,AMSTERDAM,NETHERLANDS,3,ON TIME
SK,3151,2024-02-13 16:10:00,2024-02-13 16:10:00,D,AMS,AMSTERDAM,NETHERLANDS,3,ON TIME
6H,891,2024-02-13 16:10:00,2024-02-13 16:10:00,D,TBS,TBILISI,GEORGIA,3,ON TIME
LY,363,2024-02-13 16:15:00,2024-02-13 16:15:00,D,VIE,VIENNA,AUSTRIA,3,ON TIME
LH,687,2024-02-13 16:20:00,2024-02-13 16:20:00,D,FRA,FRANKFURT,GERMANY,3,ON TIME
SN,7174,2024-02-13 16:20:00,2024-02-13 16:20:00,D,FRA,FRANKFURT,GERMANY,3,ON TIME
UA,9123,2024-02-13 16:20:00,2024-02-13 16:20:00,D,FRA,FRANKFURT,GERMANY,3,ON TIME
IZ,821,2024-02-13 16:30:00,2024-02-13 16:30:00,D,ETM,RAMON,ISRAEL,3,ON TIME
LY,9,2024-02-13 16:35:00,2024-02-13 16:35:00,D,JFK,NEW YORK,UNITED STATES,3,ON TIME
AA,9258,2024-02-13 16:40:00,2024-02-13 16:40:00,A,CDG,PARIS,FRANCE,3,NOT FINAL
IB,2393,2024-02-13 16:40:00,2024-02-13 16:40:00,A,BCN,BARCELONA,SPAIN,3,NOT FINAL
LY,320,2024-02-13 16:40:00,2024-02-13 16:40:00,A,CDG,PARIS,FRANCE,3,NOT FINAL
LY,394,2024-02-13 16:40:00,2024-02-13 16:40:00,A,BCN,BARCELONA,SPAIN,3,NOT FINAL
AM,7853,2024-02-13 16:50:00,2024-02-13 16:50:00,D,CDG,PARIS,FRANCE,3,ON TIME
LY,325,2024-02-13 16:50:00,2024-02-13 16:50:00,D,CDG,PARIS,FRANCE,3,ON TIME
LY,338,2024-02-13 16:50:00,2024-02-13 16:50:00,A,AMS,AMSTERDAM,NETHERLANDS,3,NOT FINAL
SK,3150,2024-02-13 16:50:00,2024-02-13 16:50:00,A,AMS,AMSTERDAM,NETHERLANDS,3,NOT FINAL
6H,45,2024-02-13 17:00:00,2024-02-13 17:00:00,D,ETM,RAMON,ISRAEL,3,ON TIME
IZ,1296,2024-02-13 17:05:00,2024-02-13 17:05:00,A,OTP,BUCHAREST,ROMANIA,3,NOT FINAL
LY,348,2024-02-13 17:05:00,2024-02-13 17:05:00,A,ZRH,ZURICH,SWITZERLAND,3,NOT FINAL
SK,3188,2024-02-13 17:05:00,2024-02-13 17:05:00,A,ZRH,ZURICH,SWITZERLAND,3,NOT FINAL
AM,7877,2024-02-13 17:15:00,2024-02-13 17:15:00,D,LHR,LONDON,UNITED KINGDOM,3,ON TIME
LY,317,2024-02-13 17:15:00,2024-02-13 17:15:00,D,LHR,LONDON,UNITED KINGDOM,3,ON TIME
LY,5109,2024-02-13 17:30:00,2024-02-13 17:30:00,D,TBS,TBILISI,GEORGIA,3,ON TIME
LY,2523,2024-02-13 17:45:00,2024-02-13 17:45:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,ON TIME
AA,9266,2024-02-13 17:50:00,2024-02-13 17:50:00,A,MAD,MADRID,SPAIN,3,NOT FINAL
AM,7859,2024-02-13 17:50:00,2024-02-13 17:50:00,A,MAD,MADRID,SPAIN,3,NOT FINAL
AR,7872,2024-02-13 17:50:00,2024-02-13 17:50:00,A,MAD,MADRID,SPAIN,3,NOT FINAL
IB,2395,2024-02-13 17:50:00,2024-02-13 17:50:00,A,MAD,MADRID,SPAIN,3,NOT FINAL
LY,396,2024-02-13 17:50:00,2024-02-13 17:50:00,A,MAD,MADRID,SPAIN,3,NOT FINAL
LY,571,2024-02-13 17:50:00,2024-02-13 17:50:00,D,OTP,BUCHAREST,ROMANIA,3,ON TIME
LY,236,2024-02-13 17:55:00,2024-02-13 17:55:00,A,AMS,AMSTERDAM,NETHERLANDS,3,NOT FINAL
A4,5023,2024-02-13 18:00:00,2024-02-13 18:00:00,A,AER,SOCHI,RUSSIAN FEDERATION,3,NOT FINAL
LY,544,2024-02-13 18:00:00,2024-02-13 18:00:00,A,ATH,ATHENS,GREECE,3,NOT FINAL
IZ,211,2024-02-13 18:20:00,2024-02-13 18:20:00,D,ATH,ATHENS,GREECE,3,ON TIME
LY,5102,2024-02-13 18:40:00,2024-02-13 18:40:00,A,WAW,WARSAW,POLAND,3,NOT FINAL
A4,5024,2024-02-13 18:55:00,2024-02-13 18:55:00,D,AER,SOCHI,RUSSIAN FEDERATION,3,ON TIME
IZ,822,2024-02-13 18:55:00,2024-02-13 18:55:00,A,ETM,RAMON,ISRAEL,3,NOT FINAL
6H,46,2024-02-13 19:30:00,2024-02-13 19:30:00,A,ETM,RAMON,ISRAEL,3,NOT FINAL
IZ,827,2024-02-13 19:40:00,2024-02-13 19:40:00,D,ETM,RAMON,ISRAEL,3,ON TIME
AA,9259,2024-02-13 20:00:00,2024-02-13 20:00:00,A,CDG,PARIS,FRANCE,3,NOT FINAL
AM,7862,2024-02-13 20:00:00,2024-02-13 20:00:00,A,CDG,PARIS,FRANCE,3,NOT FINAL
LY,324,2024-02-13 20:00:00,2024-02-13 20:00:00,A,CDG,PARIS,FRANCE,3,NOT FINAL
SK,3160,2024-02-13 20:00:00,2024-02-13 20:00:00,A,CDG,PARIS,FRANCE,3,NOT FINAL
6H,562,2024-02-13 20:30:00,2024-02-13 20:30:00,A,ATH,ATHENS,GREECE,3,NOT FINAL
LY,87,2024-02-13 20:35:00,2024-02-13 20:35:00,D,HKT,PHUKET,THAILAND,3,ON TIME
6H,226,2024-02-13 20:45:00,2024-02-13 20:45:00,A,RVN,ROVANIEMI,FINLAND,3,NOT FINAL
LY,5108,2024-02-13 20:50:00,2024-02-13 20:50:00,A,TBS,TBILISI,GEORGIA,3,NOT FINAL
LY,612,2024-02-13 20:55:00,2024-02-13 20:55:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,NOT FINAL
S7,4483,2024-02-13 20:55:00,2024-02-13 20:55:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,NOT FINAL
AA,9260,2024-02-13 21:05:00,2024-02-13 21:05:00,A,LHR,LONDON,UNITED KINGDOM,3,NOT FINAL
LY,316,2024-02-13 21:05:00,2024-02-13 21:05:00,A,LHR,LONDON,UNITED KINGDOM,3,NOT FINAL
LY,312,2024-02-13 21:20:00,2024-02-13 21:20:00,A,LTN,LONDON LUTON,UNITED KINGDOM,3,NOT FINAL
6H,583,2024-02-13 21:35:00,2024-02-13 21:35:00,D,LCA,LARNACA,CYPRUS,3,ON TIME
IZ,828,2024-02-13 21:45:00,2024-02-13 21:45:00,A,ETM,RAMON,ISRAEL,3,NOT FINAL
LY,974,2024-02-13 21:45:00,2024-02-13 21:45:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,NOT FINAL
LY,81,2024-02-13 22:05:00,2024-02-13 22:05:00,D,BKK,BANGKOK,THAILAND,3,ON TIME
LY,88,2024-02-13 22:05:00,2024-02-13 22:05:00,A,HKT,PHUKET,THAILAND,3,NOT FINAL
QF,5020,2024-02-13 22:05:00,2024-02-13 22:05:00,D,BKK,BANGKOK,THAILAND,3,ON TIME
TG,4584,2024-02-13 22:05:00,2024-02-13 22:05:00,D,BKK,BANGKOK,THAILAND,3,ON TIME
VN,3298,2024-02-13 22:05:00,2024-02-13 22:05:00,D,BKK,BANGKOK,THAILAND,3,ON TIME
6H,892,2024-02-13 22:25:00,2024-02-13 22:25:00,A,TBS,TBILISI,GEORGIA,3,NOT FINAL
LY,84,2024-02-13 22:50:00,2024-02-13 22:50:00,A,BKK,BANGKOK,THAILAND,3,NOT FINAL
QF,5019,2024-02-13 22:50:00,2024-02-13 22:50:00,A,BKK,BANGKOK,THAILAND,3,NOT FINAL
TG,4585,2024-02-13 22:50:00,2024-02-13 22:50:00,A,BKK,BANGKOK,THAILAND,3,NOT FINAL
VN,3295,2024-02-13 22:50:00,2024-02-13 22:50:00,A,BKK,BANGKOK,THAILAND,3,NOT FINAL
IZ,212,2024-02-13 23:25:00,2024-02-13 23:25:00,A,ATH,ATHENS,GREECE,3,NOT FINAL
IZ,282,2024-02-13 23:35:00,2024-02-13 23:35:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,NOT FINAL
