,CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
229,SK,3155,SAS,2024-02-13T06:05:00,2024-02-13T06:16:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
230,LY,5129,EL AL ISRAEL AIRLINES,2024-02-13T06:00:00,2024-02-13T06:18:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,78-99,D,DEPARTED,המריאה
235,AR,7877,AEROLINEAS ARGENTINAS S.A.,2024-02-13T06:10:00,2024-02-13T06:24:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
236,LY,385,EL AL ISRAEL AIRLINES,2024-02-13T06:10:00,2024-02-13T06:24:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
237,SK,3167,SAS,2024-02-13T06:10:00,2024-02-13T06:24:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
238,TP,8898,AIR PORTUGAL,2024-02-13T06:10:00,2024-02-13T06:24:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
239,LY,2371,EL AL ISRAEL AIRLINES,2024-02-13T06:00:00,2024-02-13T06:28:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
240,SK,3157,SAS,2024-02-13T06:00:00,2024-02-13T06:28:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
241,AA,9265,AMERICAN AIRLINES,2024-02-13T06:15:00,2024-02-13T06:32:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
242,AM,7879,AERO MEXICO,2024-02-13T06:15:00,2024-02-13T06:32:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
243,AR,7871,AEROLINEAS ARGENTINAS S.A.,2024-02-13T06:15:00,2024-02-13T06:32:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
244,IB,2394,IBERIA,2024-02-13T06:15:00,2024-02-13T06:32:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
245,LY,395,EL AL ISRAEL AIRLINES,2024-02-13T06:15:00,2024-02-13T06:32:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
246,IB,2392,IBERIA,2024-02-13T06:30:00,2024-02-13T06:38:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
247,LY,393,EL AL ISRAEL AIRLINES,2024-02-13T06:30:00,2024-02-13T06:38:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
248,AA,9263,AMERICAN AIRLINES,2024-02-13T06:00:00,2024-02-13T06:40:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
249,LY,353,EL AL ISRAEL AIRLINES,2024-02-13T06:00:00,2024-02-13T06:40:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
254,LY,573,EL AL ISRAEL AIRLINES,2024-02-13T07:00:00,2024-02-13T07:03:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,DEPARTED,המריאה
