_id,CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
18,IZ,808,ARKIA  ISRAELI  AIRLINES,2024-02-12T12:35:00,2024-02-12T12:35:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
19,HY,302,UZBEKISTAN AIR,2024-02-12T12:35:00,2024-02-12T12:50:00,D,TAS,TASHKENT,טשקנט,TASHKENT,אוזבקיסטן,UZBEKISTAN,3,70-74,C,DEPARTED,המריאה
20,EY,593,ETIHAD AIRWAYS,2024-02-12T11:20:00,2024-02-12T12:56:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
21,LY,9600,EL AL ISRAEL AIRLINES,2024-02-12T11:20:00,2024-02-12T12:56:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
22,EK,2363,EMIRATES,2024-02-12T11:40:00,2024-02-12T12:59:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
23,FZ,1211,FLYDUBAI,2024-02-12T11:40:00,2024-02-12T12:59:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
24,FR,1843,RYANAIR,2024-02-12T12:10:00,2024-02-12T13:01:00,D,FKB,BADEN BADEN,באדן באדן,BADEN BADEN,גרמניה,GERMANY,3,56-59,C,DEPARTED,המריאה
25,BZ,112,BLUE BIRD AIRWAYS,2024-02-12T12:40:00,2024-02-12T13:02:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,36-38,B,DEPARTED,המריאה
26,EK,2451,EMIRATES,2024-02-12T11:35:00,2024-02-12T13:12:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
27,FZ,1082,FLYDUBAI,2024-02-12T11:35:00,2024-02-12T13:12:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
28,B6,6466,JETBLUE AIRWAYS CORPORATION,2024-02-12T13:30:00,2024-02-12T13:21:00,A,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
29,DL,7436,DELTA AIRLINES,2024-02-12T13:30:00,2024-02-12T13:21:00,A,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
30,LY,016,EL AL ISRAEL AIRLINES,2024-02-12T13:30:00,2024-02-12T13:21:00,A,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
31,LY,011,EL AL ISRAEL AIRLINES,2024-02-12T13:00:00,2024-02-12T13:23:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
32,A3,927,AEGEAN  AIRLINES,2024-02-12T12:50:00,2024-02-12T13:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,66-69,C,DEPARTED,המריאה
33,EK,4978,EMIRATES,2024-02-12T12:50:00,2024-02-12T13:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,66-69,C,DEPARTED,המריאה
34,FB,1514,BULGARIA  AIR,2024-02-12T12:50:00,2024-02-12T13:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,66-69,C,DEPARTED,המריאה
35,JU,7621,AIR SERBIA,2024-02-12T12:50:00,2024-02-12T13:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,66-69,C,DEPARTED,המריאה
36,BZ,701,BLUE BIRD AIRWAYS,2024-02-12T13:30:00,2024-02-12T13:35:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
37,LY,574,EL AL ISRAEL AIRLINES,2024-02-12T13:35:00,2024-02-12T13:40:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
38,IZ,815,ARKIA  ISRAELI  AIRLINES,2024-02-12T13:20:00,2024-02-12T13:49:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,DEPARTED,המריאה
39,LY,552,EL AL ISRAEL AIRLINES,2024-02-12T13:45:00,2024-02-12T13:51:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,LANDED,נחתה
40,6H,886,ISRAIR AIRLINES,2024-02-12T13:55:00,2024-02-12T13:56:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
41,AM,7874,AERO MEXICO,2024-02-12T13:50:00,2024-02-12T13:59:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
42,B6,6462,JETBLUE AIRWAYS CORPORATION,2024-02-12T13:50:00,2024-02-12T13:59:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
43,DL,7429,DELTA AIRLINES,2024-02-12T13:50:00,2024-02-12T13:59:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
44,LY,006,EL AL ISRAEL AIRLINES,2024-02-12T13:50:00,2024-02-12T13:59:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
45,B6,6482,JETBLUE AIRWAYS CORPORATION,2024-02-12T14:20:00,2024-02-12T14:09:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
46,DL,7442,DELTA AIRLINES,2024-02-12T14:20:00,2024-02-12T14:09:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
47,LY,026,EL AL ISRAEL AIRLINES,2024-02-12T14:20:00,2024-02-12T14:09:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
48,LY,375,EL AL ISRAEL AIRLINES,2024-02-12T13:40:00,2024-02-12T14:09:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,DEPARTED,המריאה
49,TP,8920,AIR PORTUGAL,2024-02-12T13:40:00,2024-02-12T14:09:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,DEPARTED,המריאה
50,6H,048,ISRAIR AIRLINES,2024-02-12T14:25:00,2024-02-12T14:15:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
51,EY,594,ETIHAD AIRWAYS,2024-02-12T13:00:00,2024-02-12T14:16:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,42-48,B,DEPARTED,המריאה
52,LY,9601,EL AL ISRAEL AIRLINES,2024-02-12T13:00:00,2024-02-12T14:16:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,42-48,B,DEPARTED,המריאה
53,EK,2364,EMIRATES,2024-02-12T12:55:00,2024-02-12T14:29:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
54,FZ,1212,FLYDUBAI,2024-02-12T12:55:00,2024-02-12T14:29:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,49-55,B,DEPARTED,המריאה
55,U8,108,TUS AIRWAYS,2024-02-12T15:00:00,2024-02-12T14:38:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
56,BZ,702,BLUE BIRD AIRWAYS,2024-02-12T14:30:00,2024-02-12T14:40:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,34-36,B,DEPARTED,המריאה
57,WZ,015,RED WINGS AIRLINES,2024-02-12T13:20:00,2024-02-12T14:45:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
58,LY,5107,EL AL ISRAEL AIRLINES,2024-02-12T14:35:00,2024-02-12T14:49:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,DEPARTED,המריאה
59,EK,2345,EMIRATES,2024-02-12T13:05:00,2024-02-12T14:50:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
60,FZ,1125,FLYDUBAI,2024-02-12T13:05:00,2024-02-12T14:50:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
61,AR,7876,AEROLINEAS ARGENTINAS S.A.,2024-02-12T14:30:00,2024-02-12T14:54:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
62,LY,386,EL AL ISRAEL AIRLINES,2024-02-12T14:30:00,2024-02-12T14:54:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
63,LY,5101,EL AL ISRAEL AIRLINES,2024-02-12T14:30:00,2024-02-12T14:54:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,78-99,D,DEPARTED,המריאה
64,LY,2366,EL AL ISRAEL AIRLINES,2024-02-12T14:55:00,2024-02-12T15:01:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
65,6H,583,ISRAIR AIRLINES,2024-02-12T15:00:00,2024-02-12T15:10:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,69-72,C,DEPARTED,המריאה
66,LO,153,LOT POLISH AIRLINES,2024-02-12T15:00:00,2024-02-12T15:25:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
67,LY,9254,EL AL ISRAEL AIRLINES,2024-02-12T15:00:00,2024-02-12T15:25:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
